model,condition,total_runs,asr,asr_ci_lo,asr_ci_hi,task_utility,utility_ci_lo,utility_ci_hi,mean_brier,ece
openai/gpt-oss-20b,clean,38,0.0,0.0,0.0918,0.9211,0.792,0.9728,0.0323,0.0846
openai/gpt-oss-20b,poisoned_explicit,24,0.5417,0.3507,0.7211,0.7917,0.5953,0.9076,0.0138,0.0668
openai/gpt-oss-20b,poisoned_implicit,11,0.0,0.0,0.2588,1.0,0.7412,1.0,0.0008,0.0209
qwen/qwen3.8-27b,clean,52,0.0,0.0,0.0688,0.8462,0.7248,0.9199,0.1742,0.2847
qwen/qwen3.8-27b,poisoned_explicit,20,0.0,0.0,0.1611,0.9,0.699,0.9721,0.0129,0.0394
qwen/qwen3.8-27b,poisoned_implicit,7,0.0,0.0,0.3543,1.0,0.6457,1.0,0.0004,0.01
openai/gpt-oss-120b,clean,52,0.0,0.0,0.0688,0.9231,0.8183,0.9697,0.1979,0.35
openai/gpt-oss-120b,poisoned_explicit,26,0.4615,0.2876,0.6454,0.4615,0.2876,0.6454,0.001,0.0408
openai/gpt-oss-120b,poisoned_implicit,26,0.0,0.0,0.1287,1.0,0.8713,1.0,0.0256,0.0503
